document_id,title,so_ky_hieu,loai_van_ban,tinh_trang_hieu_luc,content_text_length,content_sha256
609,Về việc tổ chức tư pháp công an,131,Sắc lệnh,Hết hiệu lực toàn bộ,24,d9e309256976d8bab6d5a2327474ed8b1e310638f2ff9274e798848c0e9cfbe8
612,"Về việc lập một ""Hội đồng thẩm sát cấp bậc"" trong quân đội",124,Sắc lệnh,Hết hiệu lực toàn bộ,24,d9e309256976d8bab6d5a2327474ed8b1e310638f2ff9274e798848c0e9cfbe8
153125,"Bãi bỏ điểm b, khoản 2, Điều 2 Quyết định số 06/2020/QĐ-UBND ngày 25/02/2020 của UBND tỉnh Quy định mức hỗ trợ kinh phí đối với Trung tâm học tập cộng đồng trên địa bàn tỉnh Hà Tĩnh",08/2022/QĐ-UBND,Quyết định,Còn hiệu lực,10,83810e3b3daba38b562c7c6c68ac21686cb4d58576950ea07d58035f06602895
152917,"Sửa đổi, bổ sung một số điều của Quy chế quản lý và sử dụng nguồn vốn ngân sách địa phương ủy thác qua Ngân hàng Chính sách xã hội để cho vay đối với người nghèo và đối tượng chính sách khác trên địa bàn tỉnh Hà Tĩnh ban hành kèm theo Quyết định số 04/2018/QĐ-UBND ngày 30/01/2018 của UBND tỉnh",35/2021/QĐ-UBND,Quyết định,Còn hiệu lực,10,83810e3b3daba38b562c7c6c68ac21686cb4d58576950ea07d58035f06602895
155749,Về việc quy định hệ số điều chỉnh giá đất năm 2022 trên địa bàn tỉnh Khánh Hòa.,10/2022/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,78,0793dde8f8ab7a32006b6965fe3d1f4b56b35746a85ebbd265ae1a12b8622c65
152807,"Sửa đổi, bổ sung một số điều của Quy định về bảng giá đất năm 2020 trên địa bàn tỉnh ban hành kèm theo Nghị quyết số 172/2019/NQ-HĐND ngày 15 tháng 12 năm 2019 của HĐND tỉnh",275/2021/NQ-HĐND,Nghị quyết,Hết hiệu lực toàn bộ,10,d38fa3c27a49c39cda8f145262ab2ef311d82fba12ffdd2e981165c9e4dfac10
152471,Về định mức phân bổ dự toán chi thường xuyên ngân sách địa phương năm 2022,15/2021/NQ-HĐND,Nghị quyết,Hết hiệu lực toàn bộ,74,ccb97edfa2a1778e50f282549e921b878cedc062f191588b36894d2928bafb66
162191,"Ban hành Quy định chức năng, nhiệm vụ và cơ cấu tổ chức của Sở Thông tin và Truyền thông tỉnh Phú Yên",45/2023/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,9,404670608849850960e068a392834dd0ff780cd32344329a5ccbc6c42a06e02b
166436,Quy định thẩm quyền thu hồi giấy chứng nhận cơ sở đủ điều kiên an toàn thực phẩm thuộc lĩnh vực quản lý của Bộ Y tế,31/2023/TT-BYT,Thông tư,Còn hiệu lực,9,0bc781037d53557f82e7e12383a1d44c91a10fc86b05eeaa9ca37129c68aa7ce
166407,"Ban hành Quy định về công tác thi đua, khen thưởng trên địa bàn tỉnh Quảng Ninh",11/2024/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,79,4f5d074c3f53e8962037bc2b1a4d978eef553a0be18caf7cebe8f4bd43269ba8
168420,Ban hành Quy chế bảo vệ bí mật nhà nước của Hội đồng nhân dân tỉnh Quảng Ninh,41/2024/NQ-HĐND,Nghị quyết,Còn hiệu lực,78,7d1a5c2f5743dadf8a2bfeaa72a8caf47056f3f1be7b241e24fb6af76330165a
168419,Quy định về tặng danh hiệu “Công dân Quảng Ninh ưu tú”,40/2024/NQ-HĐND,Nghị quyết,Còn hiệu lực,65,4b93ea2d2064670533a8e06589dfa7ecd0e8613dc14faabd373ddcf9f199ecbc
168957,Bãi bỏ một số Quyết định của Ủy ban nhân dân tỉnh Quảng Ninh,23/2024/QĐ-UBND,Quyết định,Còn hiệu lực,71,ab569f103e1337d7f55f605273e33092acc592502ce779a02157f4fcc77ed2f5
172656,Quy định thẩm quyền thanh lý rừng trồng trên địa bàn tỉnh Quảng Ninh,50/2024/NQ-HĐND,Nghị quyết,Còn hiệu lực,68,dacf3f7555ac24ce7b26cd2b1532fdc0ffeb1aa7dbfbce39856f985c35f85844
172495,Ban hành Quy định quản lý nhà nước về giá trên địa bàn tỉnh Khánh Hòa,41/2024/QĐ-UBND,Quyết định,Còn hiệu lực,69,6b5a3e04f18cb95fe999428f5b0f50c01ffbe99e2dedfaf1f8fa8f39ed121222
176349,"Về việc quy định về chức năng, nhiệm vụ, quyền hạn của Sở Y tế tỉnh Khánh Hòa",15/2025/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,77,62b7c96b155e78bbbdd389b3bd29b3bf3d996099ff438769ba54147e1142e77b
176345,"Về việc quy định chức năng, nhiệm vụ, quyền hạn của Sở Xây dựng tỉnh Khánh Hòa",11/2025/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,78,7660a3751ab42f95e865c355bf3a53e71dd5bb8e29d0e862d038169f5b3a352e
176347,"Về việc quy định chức năng, nhiệm vụ, quyền hạn của Sở Nội vụ tỉnh Khánh Hòa",13/2025/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,76,b7c084a80e3eaa92c69d3fe924ab9cfc590ec52eec5829efd434b9cdfebac73a
177387,"Ban hành Quy định về dạy thêm, học thêm trên địa bàn tỉnh Khánh Hòa",27/2025/QĐ-UBND,Quyết định,Còn hiệu lực,67,4dd4d885b28b86b15b30e93500eccf25cccaa036240678e0743a2c92fb7e0400
179550,"Quy định chính sách hỗ trợ đối với cán bộ, công chức, viên chức, người lao động đến công tác tại trung tâm hành chính của tỉnh Thái Nguyên",'01/2025/NQ-HĐND,Nghị quyết,Còn hiệu lực,72,0debea41e5a4307a580ad167556ddd2509729f6e4dc8c2c837d809eaba2fbc06
177446,Bãi bỏ các nghị quyết của Hội đồng nhân dân tỉnh Quảng Ninh,53/2025/NQ-HĐND,Nghị quyết,Còn hiệu lực,59,201986ae0876107e1caa57516851f1d3c544e8435a8d7c2fa1af03a5c3fd2108
180194,Bãi bỏ các Nghị quyết của HĐND tỉnh,64/2025/NQ-HĐND,Nghị quyết,Còn hiệu lực,35,d965c78d3d7ca491fdeb284704a2fea225436005ead2ce09a3311e05e361f8e7
180190,Ban hành Quy chế làm việc của Ủy ban nhân dân tỉnh Quảng Ninh,63/2025/QĐ-UBND,Quyết định,Còn hiệu lực,61,081b080a186675ad61ae74cb0bf4c4b4993a0ead59976f93d7379ad88c4f5091
183287,"Ban hành quy định về công tác thi đua, khen thưởng trên địa bàn tỉnh Quảng Ninh",89/2025/QĐ-UBND,Quyết định,Còn hiệu lực,79,280ddf6a15a86990a8d9b3521f9f676756902d98d17238d364d329318b3cabc4
182935,Ban hành Quy định về quản lý đường địa phương trên địa bàn tỉnh Quảng Ninh,77/2025/QĐ-UBND,Quyết định,Còn hiệu lực,74,5ff8245f368c6b5085de09661f0cf534544568ce0209835e132f370523db1edf
185493,Quy định quản lý nghĩa trang và cơ sở hỏa táng trên địa bàn tỉnh Quảng Ninh,108/2025/QĐ-UBND,Quyết định,Còn hiệu lực,75,2d45909eb400d2cdfe2231363c6b8940a6989e2c69b0c65ee0e0c402276801a4
186691,"Ban hành Quy định về dạy thêm, học thêm trên địa bàn tỉnh Quảng Ninh",07/2026/QĐ-UBND,Quyết định,Còn hiệu lực,68,dd8d174d50b00d0bdf2ab98f73bc134bd639f40e95a64f205915e34e93b6bbd7
186693,Quy định phân cấp quản lý chợ trên địa bàn tỉnh Quảng Ninh,08/2026/QĐ-UBND,Quyết định,Còn hiệu lực,58,0630753a617922a03a813a38f9fcb89deba17434eb5dfa5196878b85df0952b0
183497,"Về đảm bảo trật tự, an toàn và vệ sinh môi trường trong quá trình xây dựng các công trình trên địa bàn thành phố Hà Nội",68/2025/QĐ-UBND,Quyết định,Còn hiệu lực,15,7c8e23b302e6a1ccc6be389bd66fe6324ed0bb6bf012129c25d4a09f74f6500b
186999,Ban hành Quy chế quản lý cụm công nghiệp trên địa bàn tỉnh Quảng Ninh,15/2026/QĐ-UBND,Quyết định,Còn hiệu lực,69,731d94d31e4f661067444fca08a8b843f5c784616f4023832d6708088e0b3e57
18127,Dược,34/2005/QH11,Luật,Hết hiệu lực toàn bộ,48489,2cfc10780adcb2385cbf14f2338b97379d626b66e1fa53ae08ab369418788d9a
22472,Giá,40/2002/PL-UBTVQH10,Pháp lệnh,Hết hiệu lực toàn bộ,22303,976f5581f10dcf8a34de0ef17417ed3ef3ec0ffce8b5c8d8a375c287a70c6d11
27624,Giá,11/2012/QH13,Luật,Hết hiệu lực toàn bộ,45764,f71945ad4552bcd334931f5302ba032b890b37bd101debc975b8c574e374ff30
37520,Quy định về vận hành thị trường phát điện cạnh tranh,30/2014/TT-BCT,Thông tư,Hết hiệu lực toàn bộ,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
39677,"ban hành Quy chế về cấp Giấy phép khai thác cảng hàng không, sân bay",3046/2003/QĐ-BGTVT,Quyết định,Hết hiệu lực toàn bộ,68,7d758e9f564fd5291efd1541bd0c6ad49deebe8cccf175f586761a8e15329d4e
52504,abac,20/2015/QĐ-UBND,Quyết định,Còn hiệu lực,1903,15b7a4a15fcf631c8d0e84e656a852862e430fdc8764efdb76f0c20589f5afde
59541,V/v thành lập Thư viện tỉnh Hậu Giang,62/2004/QĐ-UB,Quyết định,Hết hiệu lực toàn bộ,37,0afe51e6a1706d0f0ea0b2ae5b763060574b8ee57c586976cf4255547d1dcbbb
68146,Về tăng cường công tác bảo vệ bí mật Nhà nước trong tình hình mới,05/2009/CT-UBND,Chỉ thị,Hết hiệu lực toàn bộ,13,3dd27b8b80b4b4dd074bdde0d3ac35dcd0c93a1e09c4f0b1555f08a4de01e030
67576,Ban hành quy chế phố hợp trong công tác theo dõi tình hình thi hành pháp luật trên địa bàn tỉnh Lâm Đồng,07/2014/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,19,2a19fc8d618fe60145c2768f82d98b04181723721487df726a99667eb636ee68
67734,"Quy định mức thu, nộp, chế độ quản lý và sử dụng lệ phí cấp giấy phép kinh doanh vận tải bằng ô tô trên địa bàn tỉnh Lâm Đồng",60/2014/QĐ-UBND,Quyết định,Còn hiệu lực,19,2a19fc8d618fe60145c2768f82d98b04181723721487df726a99667eb636ee68
80192,Về việc tuyển sinh và hỗ trợ học phí học sinh các trường ngoài công lập,1393/2014/QĐ-UBND,Quyết định,Còn hiệu lực,71,c7594cff871d68902ebcc44dc79f9e356d2ffaddcab5ebc672e637a7c74cd7ea
84077,Về việc ban hành Quy định về hoạt động khuyến công trên địa bàn tỉnh Đắk Nông,08/2015/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,77,2f4a2a6f517918266ddf9181fae989c3e1ff82f02db921efe3742849ecab4c25
84277,Quy định mức chi thực hiện công tác hoà giải cơ sở trên địa bàn tỉnh Đắk Nông,06/2015/NQ-HĐND,Nghị quyết,Hết hiệu lực toàn bộ,77,82f79cf5c4954ecb809dcc8a21ad00545c010f4c69131001f7664d7c3bb82405
85282,"Về việc tăng cường phòng, chống tai nạn đuối nước trẻ em",04/2014/CT-UBND,Chỉ thị,Hết hiệu lực toàn bộ,56,5f6de819f2db24099b4395656b1992606c57ca0f5b1af6593885079b9e856e9d
85735,"Về việc ban hành Quy chế công tác văn thư, lưu trữ trên địa bàn tỉnh Đắk Nông",17/2014/QĐ-UBND,Quyết định,Còn hiệu lực,77,0179bb8aacd5ad042e11a06c72d0688161e39130454e1ea79a4eb5ccd196c9a6
95901,Về việc phân cấp cấp Giấy phép kinh doanh karaoke trên địa bàn thành phố Hà Nội,Quyết định 01/2015/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,79,b4a67af6589deed4a36a82b3fe0f776a70e82b1dfcc0b8765eb68f0d8f837a5d
113111,"Quy định các biểu mẫu trong hoạt động đăng ký quyền tác giả, quyền liên quan",08/2016/TT-BVHTTDL,Thông tư,Hết hiệu lực toàn bộ,76,3d95ff59cb1623c292338a6aa80a1ccc4f7d6e856eaf438763cacd1b21601784
118054,"Sửa đổi, bổ sung một số điều của Quy định ban hành
kèm theo Quyết định số 33/2014/QĐ-UBND ngày 22/12/2014 của
Ủy ban nhân dân tỉnh về việc ban hành Quy định về chính sách
khuyến khích đầu tư xây dựng cơ sở giết mổ gia súc, gia cầm tập trung
trên địa bàn tỉnh Bình định, giai đoạn 2015 - 2020",71/2016/QĐ-UBND,Quyết định,Hết hiệu lực toàn bộ,16,03b81e307062952ed77202f6a4aab85ec31d1b8779cfd737c775a43324c3ea37
117494,Về kết quả phối hợp giải quyết những vấn đề phát sinh giữa hai kỳ họp,49/2016/NQ-HĐND,Nghị quyết,Còn hiệu lực,19,9fb98b39d120ac6ac2ec94411e3865938aab7b4d5d905f2e5fee11c189ef431e
